pfam_id,alphafold_id,reviewed,fragment,dom_score,glo_score
PF13988,A0A2S8QEC1_PHOLU,0,0,32.39485714285714,38.042733333333345
PF13988,A0A447KTQ8_SEROD,0,0,50.01066666666669,57.79828996282524
PF13988,A0A315WQ01_9PSED,0,0,95.31172131147545,92.1183817427386
PF13988,A0A3Q9HR50_9FIRM,0,0,32.87260416666666,37.8267971530249
PF13988,Q7N2U7_PHOLL,0,0,50.01223463687148,56.90173913043476
PF13988,S6I371_9PSED,0,0,94.8518897637795,94.29449101796412
PF13988,A0A1B8HN63_9GAMM,0,0,33.64593749999999,40.174448051948026
PF13988,A0A2G4UKF5_YERMO,0,0,50.01347826086954,49.53673575129532
PF13988,A0A1H1C9G5_9PSED,0,0,94.54492307692306,92.58966244725744
PF13988,A0A2G6L5V1_9GAMM,0,0,34.04691489361703,34.00708333333331
PF13988,A0A1I5EFP7_9GAMM,0,0,50.02273291925465,58.52355555555558
PF13988,A0A266N6B7_9PSED,0,0,94.51367187499997,94.32955357142859
PF13988,A0A3Q9HQV0_9FIRM,0,0,34.235217391304346,33.04637931034482
PF13988,A0A530M9Q0_9HYPH,0,0,50.09073170731707,57.454477611940284
PF13988,A0A2G0VLH7_9PSED,0,0,94.45257812500002,94.058780487805
PF13988,N1NTC0_XENNE,0,0,34.30551020408162,43.69439739413682
PF13988,A0A0H5H677_YEREN,0,0,50.19351515151514,57.701270491803285
PF13988,A0A1M7MYH6_9PSED,0,0,94.42918032786885,92.50560669456065
PF13988,A0A0A0CS93_PHOLU,0,0,34.41984771573607,43.23555555555553
PF13988,A0A855WTW7_CROSK,0,0,50.2154658385093,56.544344569288405
PF13988,A0A2T3CPR3_9PSED,0,0,94.3958196721311,92.09092827004221
PF13988,A0A1I3YLG2_9GAMM,0,0,34.57333333333331,44.465653594771204
PF13988,A0A1I7AS45_9ENTR,0,0,50.24454545454548,58.551407407407375
PF13988,Q1IC01_PSEE4,0,0,94.28672,93.12907172995787
PF13988,A0A1B8GZJ0_9GAMM,0,0,35.00742105263156,42.77272727272728
PF13988,A0A379IDB6_PSEFL,0,0,50.26822222222223,71.90962406015042
PF13988,A0A0W0IP93_9PSED,0,0,94.22063999999997,94.24949541284401
PF13988,A0A0B6XGS8_XENBV,0,0,35.0648469387755,43.608375796178365
PF13988,A0A1B9NW42_ALILO,0,0,50.27349112426036,53.65975806451616
PF13988,S6TAU3_PSESF,0,0,94.14879999999997,92.4081739130435
